term,ols_estimate,boot_estimate,ols_lower,ols_upper,boot_lower,boot_upper,width_ratio,verdict
duration_scaled,-0.8136683205631233,-0.8116632176662458,-0.9364247122451304,-0.6909119288811163,-0.9255133130174373,-0.6989981151333641,0.923,Consistent
explicitexplicit,3.9311976459234392,3.94091111133515,3.49278378921503,4.369611502631849,3.445329167150625,4.426340693670842,1.119,Consistent
modemajor,-0.16709909717033086,-0.16515814781466978,-0.4158714504367923,0.08167325609613055,-0.4052214074336997,0.07678764424458455,0.969,Consistent
pc1,-0.3389071005362794,-0.33819646129251607,-0.4110273132391624,-0.26678688783339644,-0.4078746363206227,-0.27105098759570245,0.949,Consistent
pc2,1.0775655777387312,1.078531683308974,0.9762293777930662,1.1789017776843962,0.9870002445021545,1.1750486723580325,0.927,Consistent
pc3,-1.256323713397773,-1.256828582663259,-1.3657172064777086,-1.1469302203178373,-1.3473260876617061,-1.1678540286857084,0.82,Consistent
