feature,correlation
instrumentalness,-0.18072826646484078
speechiness,-0.090796195168928
loudness,0.06844848280868293
danceability,0.06062320678804484
duration_ms,-0.05337540253063328
liveness,-0.05241032697800703
energy,-0.036531585414527945
tempo,-0.018884819715616518
valence,-0.013498690299251147
acousticness,-0.006722731047593776
